# path	public origin
bin/dot	standalone:new
install.sh	actions:checkout-installer@.github/cgraf78-actions.lock
lib/dot/commands.sh	standalone:new
lib/dot/config.sh	standalone:new
lib/dot/constants.sh	dotfiles:core/constants.sh@dotfiles-v1
lib/dot/doctor-api-v1.tsv	standalone:new
lib/dot/doctor-api.sh	standalone:new
lib/dot/doctor.sh	dotfiles:core/doctor.sh@dotfiles-v1
lib/dot/doctor/lock.sh	standalone:new
lib/dot/doctor/merges.sh	dotfiles:core/doctor/merges.sh@dotfiles-v1
lib/dot/doctor/overlays.sh	dotfiles:core/doctor/overlays.sh@dotfiles-v1
lib/dot/doctor/paths.sh	dotfiles:core/doctor/paths.sh@dotfiles-v1
lib/dot/doctor/provider.sh	standalone:new
lib/dot/doctor/repos.sh	dotfiles:core/doctor/repos.sh@dotfiles-v1
lib/dot/doctor/runtime.sh	dotfiles:core/doctor/runtime.sh@dotfiles-v1
lib/dot/extension-trust.sh	standalone:new
lib/dot/extension-worker-launch.sh	standalone:new
lib/dot/extension-worker.sh	standalone:new
lib/dot/families.sh	dotfiles:core/families.sh@dotfiles-v1
lib/dot/hook-api-v1.tsv	standalone:new
lib/dot/hook-api.sh	standalone:new
lib/dot/init-client.sh	standalone:new
lib/dot/init.sh	standalone:new
lib/dot/log.sh	dotfiles:core/log.sh@dotfiles-v1
lib/dot/main.sh	standalone:new
lib/dot/merge-block.sh	dotfiles:core/merge-block.sh@dotfiles-v1
lib/dot/merge-hooks.sh	dotfiles:core/merge-hooks.sh@dotfiles-v1
lib/dot/merges.sh	dotfiles:core/merges.sh@dotfiles-v1
lib/dot/overlays.sh	dotfiles:core/overlays.sh@dotfiles-v1
lib/dot/platform.sh	dotfiles:core/platform.sh@dotfiles-v1
lib/dot/pre-sync.sh	standalone:new
lib/dot/progress-ui.sh	dotfiles:core/progress-ui.sh@dotfiles-v1
lib/dot/providers/shdeps-ui.sh	dotfiles:core/shdeps-ui.sh@dotfiles-v1
lib/dot/providers/shdeps.sh	standalone:new
lib/dot/public/api-v1.tsv	standalone:new
lib/dot/public/api-version.sh	standalone:new
lib/dot/public/ui.sh	dotfiles:core/ui.sh@dotfiles-v1
lib/dot/public/variables-v1.tsv	standalone:new
lib/dot/public/xdg.sh	dotfiles:core/xdg.sh@dotfiles-v1
lib/dot/repos/api.sh	dotfiles:core/repos/api.sh@dotfiles-v1
lib/dot/repos/commands.sh	dotfiles:core/repos/commands.sh@dotfiles-v1
lib/dot/repos/config.sh	dotfiles:core/repos/config.sh@dotfiles-v1
lib/dot/repos/dirty.sh	dotfiles:core/repos/dirty.sh@dotfiles-v1
lib/dot/repos/git.sh	dotfiles:core/repos/git.sh@dotfiles-v1
lib/dot/repos/model.sh	standalone:new
lib/dot/repos/overlays.sh	dotfiles:core/repos/overlays.sh@dotfiles-v1
lib/dot/repos/pull.sh	dotfiles:core/repos/pull.sh@dotfiles-v1
lib/dot/reserved.sh	standalone:new
lib/dot/resources.sh	dotfiles:core/resources.sh@dotfiles-v1
lib/dot/run.sh	dotfiles:core/run.sh@dotfiles-v1
lib/dot/runtime.sh	standalone:new
lib/dot/temp.sh	dotfiles:core/temp.sh@dotfiles-v1
lib/dot/update-lock.sh	dotfiles:core/update-lock.sh@dotfiles-v1
lib/dot/update.sh	dotfiles:core/update.sh@dotfiles-v1
support/checkout-bash-v1.sh	actions:checkout-installer/bash-resolver-v1.sh.in@.github/cgraf78-actions.lock
support/client-launcher.sh	standalone:new
support/install-checkout.sh	standalone:new
support/post-install.sh	standalone:new
support/shdeps.lock	shdeps:installer-lock
tests/batch-verification-test	standalone:new
tests/cli-test	standalone:new
tests/client-launcher-test	standalone:new
tests/config-test	standalone:new
tests/doctor-test	dotfiles:tests/core-doctor-test@dotfiles-v1+standalone
tests/examples-test	standalone:new
tests/extensions-api-test	dotfiles:tests/core-merges-test@dotfiles-v1+standalone
tests/families-test	dotfiles:tests/core-merges-test@dotfiles-v1
tests/hook-api-test	dotfiles:tests/core-merges-test@dotfiles-v1+standalone
tests/hooks-test	dotfiles:tests/core-merges-test@dotfiles-v1+standalone
tests/init-test	standalone:new
tests/install-test	standalone:new
tests/lib/repo.sh	standalone:new
tests/lib/test.sh	standalone:new
tests/library-test	standalone:new
tests/license-test	standalone:new
tests/merge-block-test	dotfiles:tests/core-merges-test@dotfiles-v1
tests/provenance-test	standalone:new
tests/repos-test	dotfiles:tests/core-pull-test+core-overlays-test@dotfiles-v1+standalone
tests/resources-test	dotfiles:tests/core-resource-cleanup-test@dotfiles-v1+standalone
tests/run	standalone:new
tests/shdeps-provider-test	dotfiles:tests/core-test+core-reexec-test@dotfiles-v1+standalone
tests/update-lock-test	dotfiles:tests/core-update-test@dotfiles-v1+standalone
tests/workflow-test	standalone:new
